Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Year,Month,Day,SMA_3,Prev_Close,Daily_Return,High_Low_Spread
2024-01-12,186.059998,186.740005,185.190002,185.919998,185.431549,40444700,AAPL,2024,1,12,185.89999866666665,185.589996,0.17781238596501667,1.5500030000000038
2024-01-16,182.160004,184.259995,180.929993,183.630005,183.147568,65603000,AAPL,2024,1,16,185.04666633333332,185.919998,-1.2317088127335185,3.3300020000000075
2024-01-17,181.270004,182.929993,180.300003,182.679993,182.200058,47317400,AAPL,2024,1,17,184.07666533333335,183.630005,-0.5173511812516778,2.6299899999999923
2024-01-18,186.089996,189.139999,185.830002,188.630005,188.134445,78005800,AAPL,2024,1,18,184.98000100000002,182.679993,3.257068222024738,3.3099969999999814
2024-01-19,189.330002,191.949997,188.820007,191.559998,191.056732,68741000,AAPL,2024,1,19,187.623332,188.630005,1.553301660570913,3.1299899999999923
2024-01-22,192.300003,195.330002,192.259995,193.889999,193.3806,60133900,AAPL,2024,1,22,191.36000066666668,191.559998,1.2163296222210138,3.070007000000004
2024-01-23,195.020004,195.75,193.830002,195.179993,194.667221,42355600,AAPL,2024,1,23,193.54333,193.889999,0.6653226090325615,1.9199979999999925
2024-01-24,195.419998,196.380005,194.339996,194.5,193.988998,53631300,AAPL,2024,1,24,194.52333066666665,195.179993,-0.34839277814709013,2.0400089999999977
2024-01-25,195.220001,196.270004,193.110001,194.169998,193.659882,54822100,AAPL,2024,1,25,194.61666366666665,194.5,-0.16966683804627633,3.160002999999989
2024-01-26,194.270004,194.759995,191.940002,192.419998,191.914474,44594000,AAPL,2024,1,26,193.6966653333333,194.169998,-0.9012720904493186,2.819993000000011
2024-01-29,192.009995,192.199997,189.580002,191.729996,191.226288,47145600,AAPL,2024,1,29,192.77333066666665,192.419998,-0.35859162621963686,2.6199949999999887
2024-01-30,190.940002,191.800003,187.470001,188.039993,187.545975,55859400,AAPL,2024,1,30,190.72999566666667,191.729996,-1.9245830475060306,4.3300020000000075
2024-01-31,187.039993,187.100006,184.350006,184.399994,183.915543,55467800,AAPL,2024,1,31,188.056661,188.039993,-1.9357578895464098,2.75
2024-02-01,183.990005,186.949997,183.820007,186.860001,186.369095,64885400,AAPL,2024,2,1,186.43332933333332,184.399994,1.3340602386353757,3.1299899999999923
2024-02-02,179.860001,187.330002,179.25,185.850006,185.36174,102518000,AAPL,2024,2,2,185.70333366666668,186.860001,-0.5405089342796288,8.080002000000007
2024-02-05,188.149994,189.25,185.839996,187.679993,187.18692,69668800,AAPL,2024,2,5,186.79666666666665,185.850006,0.9846580257845075,3.4100039999999865
2024-02-06,186.860001,189.309998,186.770004,189.300003,188.802673,43490800,AAPL,2024,2,6,187.61000066666665,187.679993,0.8631767159113266,2.539994000000007
2024-02-07,190.639999,191.050003,188.610001,189.410004,188.912399,53439000,AAPL,2024,2,7,188.79666666666665,189.300003,0.0581093493167999,2.4400019999999927
2024-02-08,189.389999,189.539993,187.350006,188.320007,187.825256,40962000,AAPL,2024,2,8,189.01000466666667,189.410004,-0.5754696040236515,2.189987000000002
2024-02-09,188.649994,189.990005,188.0,188.850006,188.594208,45155200,AAPL,2024,2,9,188.86000566666667,188.320007,0.28143531239354913,1.9900049999999965
2024-02-12,188.419998,188.669998,186.789993,187.149994,186.8965,41781900,AAPL,2024,2,12,188.106669,188.850006,-0.9001916579234926,1.8800049999999828
2024-02-13,185.770004,186.210007,183.509995,185.039993,184.789352,56529500,AAPL,2024,2,13,187.013331,187.149994,-1.1274384545264708,2.7000119999999868
2024-02-14,185.320007,185.529999,182.440002,184.149994,183.900558,54630500,AAPL,2024,2,14,185.4466603333333,185.039993,-0.4809765638069481,3.089997000000011
2024-02-15,183.550003,184.490005,181.350006,183.860001,183.610962,65434500,AAPL,2024,2,15,184.349996,184.149994,-0.157476518842559,3.139998999999989
2024-02-16,183.419998,184.850006,181.669998,182.309998,182.063049,49701400,AAPL,2024,2,16,183.4399976666667,183.860001,-0.8430343693950071,3.180008000000015
2024-02-20,181.789993,182.429993,180.0,181.559998,181.314072,53665600,AAPL,2024,2,20,182.57666566666668,182.309998,-0.41138720214346114,2.429992999999996
2024-02-21,181.940002,182.889999,180.660004,182.320007,182.073059,41529700,AAPL,2024,2,21,182.06333433333336,181.559998,0.41859936570389067,2.2299950000000024
2024-02-22,183.479996,184.960007,182.460007,184.369995,184.12027,52292200,AAPL,2024,2,22,182.75,182.320007,1.1243900402000229,2.5
2024-02-23,185.009995,185.039993,182.229996,182.520004,182.272781,45119700,AAPL,2024,2,23,183.07000200000002,184.369995,-1.0034121875416815,2.80999700000001
2024-02-26,182.240005,182.759995,180.649994,181.160004,180.914627,40867400,AAPL,2024,2,26,182.6833343333333,182.520004,-0.7451238057172153,2.110001000000011
2024-02-27,181.100006,183.919998,179.559998,182.630005,182.382629,54318900,AAPL,2024,2,27,182.10333766666668,181.160004,0.8114379374820642,4.359999999999985
2024-02-28,182.509995,183.119995,180.130005,181.419998,181.174255,48953900,AAPL,2024,2,28,181.736669,182.630005,-0.6625455658285826,2.9899899999999775
2024-02-29,181.270004,182.570007,179.529999,180.75,180.505173,136682600,AAPL,2024,2,29,181.60000100000002,181.419998,-0.369307687898879,3.0400080000000003
2024-03-01,179.550003,180.529999,177.380005,179.660004,179.416656,73488000,AAPL,2024,3,1,180.61000066666665,180.75,-0.6030406639004224,3.1499939999999924
2024-03-04,176.149994,176.899994,173.789993,175.100006,174.862823,81510100,AAPL,2024,3,4,178.50333666666666,179.660004,-2.538126404583615,3.1100009999999827
2024-03-05,170.759995,172.039993,169.619995,170.119995,169.889572,95132400,AAPL,2024,3,5,174.96000166666667,175.100006,-2.8440952766158207,2.419998000000021
2024-03-06,171.059998,171.240005,168.679993,169.119995,168.890915,68587700,AAPL,2024,3,6,171.44666533333336,170.119995,-0.5878203793739825,2.5600120000000004
2024-03-07,169.149994,170.729996,168.490005,169.0,168.771088,71765100,AAPL,2024,3,7,169.41333,169.119995,-0.0709525801487806,2.2399910000000034
2024-03-08,169.0,173.699997,168.940002,170.729996,170.498734,76114600,AAPL,2024,3,8,169.61666366666668,169.0,1.023666272189349,4.7599950000000035
2024-03-11,172.940002,174.380005,172.050003,172.75,172.516006,60139500,AAPL,2024,3,11,170.82666533333335,170.729996,1.1831570592902727,2.3300020000000075
2024-03-12,173.149994,174.029999,171.009995,173.229996,172.995346,59825400,AAPL,2024,3,12,172.23666400000002,172.75,0.27785586107091165,3.020004
2024-03-13,172.770004,173.190002,170.759995,171.130005,170.898209,52488700,AAPL,2024,3,13,172.37000033333334,173.229996,-1.2122559882758346,2.430006999999989
2024-03-14,172.910004,174.309998,172.050003,173.0,172.765671,72913500,AAPL,2024,3,14,172.45333366666668,171.130005,1.0927335624164731,2.2599950000000035
2024-03-15,171.169998,172.619995,170.289993,172.619995,172.386185,121664700,AAPL,2024,3,15,172.25,173.0,-0.21965606936416834,2.330001999999979
2024-03-18,175.570007,177.710007,173.520004,173.720001,173.484695,75604200,AAPL,2024,3,18,173.113332,172.619995,0.6372413578160558,4.19000299999999
2024-03-19,174.339996,176.610001,173.029999,176.080002,175.841492,55215200,AAPL,2024,3,19,174.13999933333332,173.720001,1.358508511636499,3.5800020000000075
2024-03-20,175.720001,178.669998,175.089996,178.669998,178.427994,53423100,AAPL,2024,3,20,176.156667,176.080002,1.4709200196397005,3.580001999999979
2024-03-21,177.050003,177.490005,170.839996,171.369995,171.137878,106181300,AAPL,2024,3,21,175.37333166666667,178.669998,-4.085746393751012,6.650008999999983
2024-03-22,171.759995,173.050003,170.059998,172.279999,172.046646,71106600,AAPL,2024,3,22,174.106664,171.369995,0.5310171130016168,2.9900049999999965
